,Facility Size (sq Ft),"Revenue (US Dollars, million)","Net Income (US Dollars, million)",Total Employees,"Total Assets (US Dollars, million)",Owns Rents_Owns,Importer,Exporter,Manufacturing,Women Owned,Minority Owned,RevPerEm,RevPerSq,SqPerEm,LogRpE,LogRpF,LogFpE
176,3688,0.34,0,6,0,0,1,1,1,0,1,0.056666667,9.22E-05,614.6666667,-0.554398497,-0.131356475,4.220564649
177,4316,0.34,0,4,0,0,0,0,1,0,0,0.085,7.88E-05,1079,-0.67030213,-0.128888745,5.200625797
178,4204,0.334542,0,4,0,0,0,0,1,0,0,0.0836355,7.96E-05,1051,-0.680357309,-0.131234441,5.18428929
179,10000,0.63,0,5,0,0,0,0,1,0,0,0.126,6.30E-05,2000,-0.2578669,-0.050164863,5.140388836
180,2000,0.47,0,5,0,1,0,1,1,0,0,0.094,0.000235,400,-0.421386128,-0.099333282,4.242144434
181,13988,0.46,0,5,0,0,0,0,1,0,0,0.092,3.29E-05,2797.6,-0.433388969,-0.081346369,5.327698981
182,3978,0.26,0,3,0,0,0,0,1,0,0,0.086666667,6.54E-05,1326,-0.971708236,-0.162522537,5.97891378
183,3128,0.26,0,5,0,0,0,0,0,0,0,0.052,8.31E-05,625.6,-0.751816118,-0.167376826,4.491757538
184,4626,0.35,0,10,0,1,0,0,1,0,0,0.035,7.57E-05,462.6,-0.437809831,-0.124394646,3.519523116
185,1500,0.35,0,3,0,1,0,0,1,0,0,0.116666667,0.000233333,500,-0.757286586,-0.143551277,5.275373393
186,4204,0.25,0,4,0,0,0,0,1,0,0,0.0625,5.95E-05,1051,-0.861353116,-0.166146808,5.18428929
187,2000,0.65,0,6,0,0,0,0,0,0,0,0.108333333,0.000325,333.3333333,-0.221378627,-0.056675233,3.906091174
188,9000,0.64,0,6,0,0,0,0,1,0,0,0.106666667,7.11E-05,1500,-0.229346202,-0.049015716,4.679034055
189,3229,0.26324,0,2,0,0,0,0,1,0,0,0.13162,8.15E-05,1614.5,-1.214886388,-0.165185773,7.354667205
190,,0.49,0,13,0,1,0,0,1,0,0,0.037692308,,,-0.270304809,,
191,3196,0.21,0,3,0,0,0,0,1,0,0,0.07,6.57E-05,1065.333333,-1.125769383,-0.193397077,5.821025846
192,1650,0.21,0,1,0,0,0,0,1,0,0,0.21,0.000127273,1650,-2.251538767,-0.210655505,10.68825031
193,4321,0.368001,0,,0,0,0,0,1,0,0,,8.52E-05,,,-0.11941712,
194,3966,0.363023,0,5,0,0,0,0,0,0,0,0.0726046,9.15E-05,793.2,-0.565527407,-0.122296477,4.624233024
195,7906,0.36,0,4,0,0,0,0,1,0,0,0.09,4.55E-05,1976.5,-0.634787611,-0.113828224,5.576715432
196,4204,0.22,0,4,0,0,0,0,1,0,0,0.055,5.23E-05,1051,-0.940780456,-0.181467585,5.18428929
197,3229,0.218612,0,2,0,0,0,0,1,0,0,0.109306,6.77E-05,1614.5,-1.383979431,-0.18817703,7.354667205
198,3514,0.28,0,6,0,0,0,0,1,0,0,0.046666667,7.97E-05,585.6666667,-0.654174951,-0.155914517,4.195728293
199,10000,0.275,0,5,0,1,0,0,1,0,0,0.055,2.75E-05,2000,-0.72051199,-0.140166827,5.140388836
200,4204,0.209094,0,4,0,0,0,0,1,0,0,0.0522735,4.97E-05,1051,-0.972371382,-0.187561173,5.18428929
